cur,date,dec,K,S,k,pm,model,outcome,extrap_T,in_smile_range,side,cost,win,ret,gap
BTC,2026-05-25,D-1_20Z,76000.0,76684.0,-0.008959741371471869,0.755,0.7195301214224541,1,False,True,NO,0.26829825,False,-1.0,0.03546987857754591
BTC,2026-05-25,D-1_20Z,78000.0,76684.0,0.017015745031788734,0.165,0.13445398892157523,0,False,True,NO,0.85416825,True,0.17072953718427258,0.03054601107842478
BTC,2026-05-30,D-1_20Z,74000.0,73562.62,0.005928076919074516,0.245,0.28253018524355644,0,False,True,YES,0.26829825,False,-1.0,-0.037530185243556446
BTC,2026-06-01,D-1_20Z,74000.0,73632.16,0.0049832063853005775,0.335,0.3657522090738198,0,False,True,YES,0.36081825,False,-1.0,-0.03075220907381976
BTC,2026-06-03,D-1_20Z,66000.0,67172.01,-0.017601900877878416,0.7945,0.7563264527119729,1,False,True,NO,0.22733418250000004,False,-1.0,0.03817354728802713
BTC,2026-06-04,D-1_20Z,64000.0,65388.59,-0.02146469505091775,0.8185,0.7696086415922219,0,False,True,NO,0.2023379425,True,3.9422267897183936,0.04889135840777814
BTC,2026-06-05,D-1_20Z,64000.0,63518.67,0.0075492049271542565,0.423,0.38269495600625797,0,False,True,NO,0.60397017,True,0.6557109103583709,0.04030504399374202
BTC,2026-06-05,D-1_20Z,62000.0,63518.67,-0.02419949338742608,0.845,0.7989852552801981,0,False,True,NO,0.17464425000000003,True,4.725925703251036,0.046014744719801826
BTC,2026-06-06,D-1_20Z,60000.0,60454.0,-0.007538183038288437,0.5645,0.5970223885001189,1,False,True,YES,0.5916114825000001,True,0.6902984975447969,-0.032522388500118904
BTC,2026-06-07,D-1_20Z,60000.0,60622.49,-0.010321384116601887,0.695,0.6450640294510017,1,False,True,NO,0.33010425000000004,False,-1.0,0.04993597054899823
ETH,2026-05-23,D-1_20Z,2100.0,2066.84,0.01591647389567209,0.13,0.20219074071268778,0,False,True,YES,0.148428,False,-1.0,-0.07219074071268777
ETH,2026-05-24,D-1_20Z,2000.0,2077.71,-0.03811914511146645,0.9655,0.9256404462079836,1,False,True,NO,0.047476382499999976,False,-1.0,0.039859553792016444
ETH,2026-05-24,D-1_20Z,2100.0,2077.71,0.010671019057965676,0.265,0.2954313358486284,0,False,True,YES,0.28895625,False,-1.0,-0.030431335848628394
ETH,2026-05-25,D-1_20Z,2100.0,2094.56,0.0025938372797254263,0.505,0.4528417421905412,1,False,True,NO,0.52249825,False,-1.0,0.05215825780945882
ETH,2026-05-30,D-1_20Z,2000.0,2017.82,-0.008870540168187661,0.775,0.7398408383458255,1,False,True,NO,0.24758424999999998,False,-1.0,0.03515916165417454
ETH,2026-05-31,D-1_20Z,2000.0,2029.19,-0.014489518087846423,0.855,0.8094360254749022,1,False,True,NO,0.16416825000000002,False,-1.0,0.04556397452509775
ETH,2026-06-03,D-1_20Z,1900.0,1908.47,-0.004447987756039666,0.595,0.5589642296735909,0,False,True,NO,0.43199425,True,1.3148456258387697,0.03603577032640903
ETH,2026-06-04,D-1_20Z,1700.0,1800.0,-0.05715841383994864,0.945,0.9101984082364583,1,False,True,NO,0.06925425000000004,False,-1.0,0.034801591763541695
ETH,2026-06-06,D-1_20Z,1500.0,1577.32,-0.05026209621876255,0.9095,0.8529776304234333,1,False,True,NO,0.10682798250000002,False,-1.0,0.056522369576566645
ETH,2026-06-06,D-1_20Z,1600.0,1577.32,0.014276424918808638,0.3045,0.3387310995282077,0,False,True,YES,0.3295912825,False,-1.0,-0.03423109952820769
ETH,2026-06-07,D-1_20Z,1500.0,1555.39,-0.036261209935524015,0.8765,0.822689239485746,1,False,True,NO,0.14159744250000006,False,-1.0,0.05381076051425393
ETH,2026-06-08,D-1_20Z,1500.0,1609.46,-0.07043361090108897,0.93,0.8845234186964515,1,False,True,NO,0.08515199999999995,False,-1.0,0.04547658130354859
ETH,2026-06-08,D-1_20Z,1600.0,1609.46,-0.005895089763517729,0.577,0.5421843599311039,1,False,True,NO,0.45018577000000004,False,-1.0,0.03481564006889604
